StationID,Seasons,Temp,pH,Cond,TDS,Dissolved_Oxygen,Na,K,Mg,Ca,F,Cl,NO3,SO4,HCO3,Si
M01,Dry,28.8,8.51,344,209,11.82,18.14,4.95,7.06,38.03,0.21,19.18,0.25,9.04,158.3,3.58
M02,Dry,26,8.15,348,222,7.37,17.74,4.96,7.06,42.37,0.16,18.23,0.22,8.47,173.85,4.53
M03,Dry,26.2,7.44,507,325,7,38.82,7.65,8.07,46.92,0.19,45.62,2.73,15.6,200.39,7.78
M04,Dry,29.3,7.57,250,150,6.2,21.92,3.46,3.65,17.48,0.17,27.45,0,5.97,73.2,8.49
M05,Dry,29.2,7.52,254,152,7.17,24.08,3.33,3.62,16.95,0.14,30.92,1.53,5.46,67.34,7.5
M06,Dry,27.7,7.59,264,163,7.62,9.05,2.45,8.84,26.93,0.08,15.97,1.01,17.76,96.62,9.98
M07,Dry,30.1,6.3,23,14,7.76,1.34,1.24,0.46,1.07,0.05,1.73,0,0.79,7.87,4.4
M08,Dry,30.6,7.59,264,155,8.02,24.8,3.45,3.73,17.51,0.14,31.51,1.26,5.94,68.99,7.6
M09,Dry,30.4,7.34,258,152,6.71,24.47,3.49,3.62,17.31,0.16,30.44,1.61,6.29,68.99,7.75
M10,Dry,30.4,7.64,278,164,7.11,26.22,3.71,3.94,19.07,0.12,32.51,1.48,6.81,74.12,8.36
M11,Dry,29.8,7.9,393,234,7.79,45.42,3.29,4.49,21.12,0.16,63.3,0.82,10.32,74.12,9.87
M12,Dry,29.9,7.62,264,157,6.13,24.18,3.58,3.84,18.34,0.19,30.05,1.52,6.49,72.29,8.28
M13,Dry,28.7,7.67,211,128,6.45,31.58,1.32,2.21,3.75,0.07,48.71,0.21,1.87,19.22,7.49
M14,Dry,30.6,7.1,354,208,7.1,50.74,1.48,3,8.49,0.1,73.42,0,5.42,37.52,12.67
M15,Dry,28.8,7.24,242,146,6.81,22.17,3.43,3.58,17.41,0.2,27.29,1.51,5.81,70.46,8.33
M16,Dry,33,7.9,217,122,7.85,16.29,2.34,2.72,15.63,0.11,23.51,0.46,2.97,58.19,7.89
M17,Dry,29.7,6.47,47,28,6.22,3.71,1.6,0.69,3.52,0.12,2.72,0.99,1.05,16.47,5.72
M18,Dry,29.4,6.92,115,69,3.95,6.35,6.31,1.75,7.95,0.08,9.87,0,1.21,39.35,7.93
M19,Dry,31,7.18,564,332,7.22,88.57,1.71,2.53,8.89,0.08,136.83,0,12.67,31.11,13.33
M20,Dry,29.3,7.79,253,152,6.25,22.88,3.42,3.58,17.07,0.14,29.67,1.43,5.63,71.37,8.16
M21,Dry,28.9,7.72,247,150,6.43,22.66,3.42,3.57,17.25,0.13,28.16,1.61,5.66,68.63,8.4
M22,Dry,30.4,7.42,505,299,6.31,64.4,3.76,5.15,19.22,0.18,108.68,2.81,4.39,66.8,8.47
M23,Dry,29.6,7.13,189,113,7.53,20.61,2.99,2.64,7.73,0.08,34.54,0.33,1.86,32.03,10.71
M24,Dry,28.4,7.22,187,114,4.14,8.37,6.75,3.21,9.94,0.07,18.27,1.39,3.5,56.73,12.59
M25,Dry,29.3,7.91,480,288,7.7,67.46,2.97,4.28,14.39,0.2,107.27,0,2.52,57.65,8.8
M26,Dry,30.1,6.98,291,172,7.6,37.13,3.52,2.17,8.29,0.12,54.41,8.01,5.64,33.86,7.29
M27,Dry,31.2,6.3,66,38,6.95,4.3,2.23,1.23,2.15,0.1,8.76,0,0.45,13.73,7.3
M28,Dry,31.2,6.68,78,46,7.68,6.68,1.53,0.84,3.06,0.12,10.94,0,1.08,16.47,7.81
M29,Dry,31.3,6.88,292,170,5.7,31.78,4.8,1.86,14.81,0.13,16.79,1.04,52.49,39.35,21.29
M30,Dry,28.1,7.47,1115,683,5.19,169.3,5.67,7.39,32.37,0.18,282.07,3.17,31.25,78.69,17.3
M31,Dry,26.5,6.91,165,105,3.77,19.32,2.53,3.28,8.7,0.32,18.22,1.18,1.86,55.82,11.23
M32,Dry,25.6,7.76,1308,839,6.48,213.7,5.08,8.44,43.3,0.2,361.59,1.24,40.75,83.27,13.26
M33,Dry,24,7.86,1128,748,8.19,187.9,5.08,8.37,30.15,0.26,330.67,0.32,17.21,86.01,10.69
M34,Dry,26.2,7.23,278,174,6.34,21.51,2.57,3.23,25.58,0.15,67.99,0.21,3.23,22.88,4.87
M35,Dry,29.9,6.11,90,53,3.94,9.1,2.04,1.15,5.65,0.2,8.94,0.32,1.24,28.37,6.66
M36,Dry,28.3,7.63,951,579,6.5,141.2,6.07,7.88,27.64,0.28,235.12,1.11,17.54,92.42,11.92
M37,Dry,28.2,7.92,626,384,7.63,81.52,5.12,6.72,22.68,0.28,126.23,0,22.61,96.08,11.69
M38,Dry,28.1,7.4,313,192,5.17,26.6,5.21,5.5,18.64,0.21,56.37,0.36,2.16,63.14,11.94
M39,Dry,25.5,6.62,216,139,6.36,36.09,1.74,1.47,1.29,0.15,58.03,0.21,2.19,7.32,4.59
M40,Dry,26.9,7.47,995,624,5.96,161.5,4.02,6.19,23.78,0.22,270.44,0.68,13.68,72.29,12.43
M41,Dry,26.7,7.69,544,345,7.08,86.69,2.88,3.94,11.19,0.21,146.2,0,3.31,39.35,6.91
M42,Dry,26.7,8.46,566,358,8.72,82.52,3.43,5.14,17.95,0.22,136.51,0,5.7,69.54,7.05
M43,Dry,26.8,7.55,610,384,4.69,92.55,3.34,5.03,17.04,0.21,158.97,0.19,2.89,58.56,9.49
